Week,Team,Win,pointYTD,ydsYTD,pYdsYTD,dYdsYTD,dRYdsYTD,dPYdsYTD,Rank
2,Buccaneers,W,31,431,379,451,60,391,1
2,Cardinals,W,38,416,280,248,86,162,2
2,Chiefs,L,33,397,324,457,153,304,3
2,Ravens,W,27,406,217,491,82,409,4
2,Rams,W,34,386,312,322,134,188,5
2,Raiders,W,33,491,409,406,189,217,6
2,Texans,L,37,449,289,395,76,319,7
2,Seahawks,L,28,381,241,336,113,223,7
2,49ers,W,41,442,311,430,116,314,7
2,Vikings,L,24,403,336,366,149,217,10
2,Browns,L,26,355,138,261,54,207,11
2,Bills,W,16,371,254,252,75,177,12
2,Broncos,W,27,420,255,314,60,254,13
2,Lions,L,33,430,314,442,131,311,13
2,Cowboys,W,29,451,391,431,52,379,15
2,Commanders,W,16,259,133,424,90,334,16
2,Titans,W,13,248,162,416,136,280,16
2,Panthers,W,19,381,270,252,45,207,18
2,Saints,L,38,322,151,229,43,186,18
2,Bengals,L,27,366,217,403,67,336,20
2,Eagles,L,32,434,261,260,124,136,21
2,Giants,L,13,314,254,420,165,255,22
2,Patriots,W,16,393,268,259,74,185,23
2,Steelers,L,23,252,177,371,117,254,24
2,Packers,W,3,229,186,322,171,151,25
2,Chargers,L,20,424,334,259,126,133,26
2,Jaguars,L,21,395,319,449,160,289,27
2,Bears,W,14,322,188,386,74,312,27
2,Falcons,L,6,260,136,434,173,261,29
2,Colts,L,20,517,340,299,77,222,30
2,Jets,L,14,252,207,381,111,270,30
2,Dolphins,L,17,259,185,393,125,268,32
3,Buccaneers,L,79,772,638,799,115,684,1
3,Cardinals,W,72,890,651,667,263,404,1
3,Rams,W,61,757,582,676,243,433,3
3,Bills,W,51,685,425,468,146,322,4
3,Chiefs,L,68,802,667,938,404,534,5
3,Raiders,W,59,916,782,737,228,509,6
3,Cowboys,W,49,870,612,839,147,692,6
3,Vikings,W,57,822,578,840,252,588,8
3,49ers,L,58,748,500,758,267,491,9
3,Browns,W,56,760,359,663,147,516,10
3,Ravens,W,63,887,447,896,144,752,11
3,Broncos,W,50,818,557,503,135,368,12
3,Seahawks,L,58,778,561,868,325,543,13
3,Saints,W,45,450,231,612,132,480,14
3,Titans,W,46,780,482,813,213,600,15
3,Panthers,W,45,764,564,380,93,287,16
3,Packers,W,38,552,413,666,279,387,17
3,Bengals,W,44,614,396,609,190,419,17
3,Chargers,W,37,832,647,678,324,354,19
3,Texans,L,58,751,509,750,232,518,19
3,Lions,L,50,774,550,765,227,538,19
3,Commanders,L,46,666,453,815,253,562,19
3,Eagles,L,43,762,438,566,241,325,23
3,Giants,L,42,705,482,827,252,575,24
3,Patriots,L,41,653,427,595,226,369,25
3,Jaguars,L,34,584,433,847,256,591,26
3,Steelers,L,40,583,469,796,169,627,27
3,Falcons,W,31,608,429,775,255,520,28
3,Dolphins,L,17,475,330,707,268,439,29
